0Replay_id,Cluster
4-2-1-62848-5-2018-03-27T18-27-15-317,2
4-2-1-62848-5-2018-03-10T05-17-32-348,2
4-2-1-62848-4-2018-03-07T09-08-03-389,0
4-2-1-62848-5-2018-03-27T18-38-01-688,0
4-2-1-62848-6-2018-03-07T08-47-31-572,0
4-2-1-62848-4-2018-03-07T10-06-03-281,0
4-2-2-63454-5-2018-03-29T13-57-51-827,0
4-2-1-62848-5-2018-03-10T07-25-08-575,0
4-2-1-62848-4-2018-03-07T10-43-14-317,0
4-2-1-62848-6-2018-03-07T08-52-00-403,0
4-2-1-62848-5-2018-03-10T07-36-44-330,0
4-2-2-63454-5-2018-03-29T14-31-08-338,0
4-2-1-62848-4-2018-03-07T11-45-26-640,0
4-2-1-62848-5-2018-03-10T07-49-59-790,0
4-2-1-62848-6-2018-03-07T08-59-39-1036,0
4-2-1-62848-4-2018-03-07T11-55-46-355,0
4-2-2-63454-5-2018-03-29T14-33-53-993,0
4-2-1-62848-5-2018-03-10T08-05-55-398,0
4-2-1-62848-6-2018-03-07T09-08-48-342,0
4-2-1-62848-5-2018-03-10T08-21-44-354,0
4-2-2-63454-5-2018-03-29T14-40-52-472,0
4-2-1-62848-6-2018-03-07T09-12-22-292,0
4-2-1-62848-4-2018-03-07T12-06-55-1858,0
4-2-1-62848-5-2018-03-10T08-26-12-451,0
4-2-2-63454-5-2018-03-29T15-29-47-257,0
4-2-1-62848-6-2018-03-07T09-21-22-652,0
4-2-1-62848-5-2018-03-10T08-43-52-385,0
4-2-2-63454-5-2018-03-29T15-37-58-416,0
4-2-1-62848-5-2018-03-10T08-45-57-238,0
4-2-2-63454-5-2018-03-29T15-52-05-345,0
4-2-1-62848-5-2018-03-10T08-48-17-471,0
4-2-2-63454-5-2018-03-29T16-06-00-328,0
4-2-1-62848-6-2018-03-07T09-24-57-992,0
4-2-1-62848-5-2018-03-10T09-02-00-363,0
4-2-2-63454-5-2018-03-29T16-22-47-263,0
4-2-1-62848-4-2018-03-07T12-17-15-1158,0
4-2-1-62848-5-2018-03-10T09-24-51-517,0
4-2-1-62848-6-2018-03-07T09-54-51-762,1
4-2-2-63454-5-2018-03-29T16-56-47-854,0
4-2-1-62848-5-2018-03-10T09-52-54-525,0
4-2-2-63454-5-2018-03-29T17-06-03-273,1
4-2-1-62848-4-2018-03-07T12-22-42-342,0
4-2-1-62848-6-2018-03-07T10-26-03-757,0
4-2-2-63454-5-2018-03-29T17-14-34-283,0
4-2-1-62848-5-2018-03-10T09-58-45-426,0
4-2-1-62848-4-2018-03-07T12-39-25-245,0
4-2-2-63454-5-2018-03-29T17-40-59-327,0
4-2-1-62848-6-2018-03-07T10-28-25-616,0
4-2-2-63454-5-2018-03-29T17-56-08-258,0
4-2-2-63454-5-2018-03-29T22-14-08-413,0
4-2-1-62848-4-2018-03-07T13-24-05-639,0
4-2-1-62848-5-2018-03-10T11-20-38-531,0
4-2-1-62848-4-2018-03-07T13-38-52-309,0
4-2-2-63454-5-2018-03-29T22-21-15-868,0
4-2-1-62848-6-2018-03-07T18-22-27-1651,0
4-2-1-62848-5-2018-03-10T11-38-48-617,0
4-2-1-62848-5-2018-03-10T11-57-46-358,0
4-2-2-63454-5-2018-03-29T22-24-27-876,0
4-2-1-62848-5-2018-03-10T11-59-27-405,0
4-2-1-62848-4-2018-03-07T13-52-53-644,0
4-2-2-63454-5-2018-03-29T22-26-52-294,0
4-2-1-62848-5-2018-03-10T12-02-34-565,0
