,0Frame_id,0P1_mmr,0P2_mmr,0Replay_id,P1_Supply_army,P1_Supply_total,P1_Supply_used,P1_Supply_workers,P1_Unit_Assimilator,P1_Unit_Forge,P1_Unit_Gateway,P1_Unit_Nexus,P1_Unit_Probe,P1_Unit_Pylon,P1_minerals,P1_vespene,P2_Supply_army,P2_Supply_total,P2_Supply_used,P2_Supply_workers,P2_Unit_Assimilator,P2_Unit_Forge,P2_Unit_Gateway,P2_Unit_Nexus,P2_Unit_PhotonCannon,P2_Unit_Probe,P2_Unit_Pylon,P2_minerals,P2_vespene
37,1440.0,3822.0,3991.0,4-2-1-62848-5-2018-03-09T16-50-29-425,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,50.0,0.0,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,0.0,16.0,1.0,70.0,0.0
38,1440.0,3909.0,3845.0,4-2-1-62848-5-2018-03-27T07-12-49-762,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,70.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,30.0,0.0
39,1440.0,3396.0,0.0,4-2-1-62848-4-2018-03-07T01-01-29-1075,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1440.0,4161.0,4030.0,4-2-1-62848-5-2018-03-09T17-00-39-985,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,110.0,0.0,0.0,23.0,18.0,18.0,1.0,0.0,1.0,1.0,0.0,18.0,1.0,150.0,0.0
41,1440.0,4349.0,0.0,4-2-1-62848-5-2018-03-27T07-41-49-520,0.0,23.0,18.0,17.0,0.0,0.0,0.0,1.0,17.0,2.0,310.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,95.0,0.0
42,1440.0,4374.0,4521.0,4-2-2-63454-5-2018-03-28T21-08-50-730,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,35.0,0.0,0.0,23.0,19.0,18.0,2.0,0.0,1.0,1.0,0.0,18.0,1.0,85.0,0.0
43,1440.0,4063.0,4328.0,4-2-1-62848-5-2018-03-09T17-27-10-253,0.0,23.0,17.0,16.0,0.0,0.0,2.0,1.0,16.0,1.0,65.0,0.0,0.0,23.0,18.0,17.0,0.0,1.0,0.0,1.0,0.0,17.0,1.0,235.0,0.0
44,1440.0,3869.0,3804.0,4-2-1-62848-5-2018-03-09T17-29-42-64,0.0,23.0,18.0,17.0,0.0,0.0,1.0,1.0,17.0,1.0,250.0,0.0,0.0,23.0,16.0,16.0,1.0,0.0,1.0,1.0,0.0,16.0,1.0,250.0,0.0
45,1440.0,0.0,0.0,4-2-1-62848-5-2018-03-27T08-15-30-964,0.0,23.0,16.0,15.0,0.0,1.0,1.0,1.0,15.0,1.0,205.0,0.0,0.0,23.0,18.0,17.0,0.0,0.0,1.0,1.0,0.0,17.0,2.0,45.0,0.0
46,1440.0,3979.0,4085.0,4-2-1-62848-5-2018-03-09T17-35-57-367,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,35.0,0.0,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,0.0,16.0,1.0,90.0,0.0
