,720,1440,2160,2880,3600,4320,5040,5760,6480,7200,7920,8640,9360,10080,10800,Names
4-2-1-62848-4-2018-03-26T15-12-51-866,14.0,17.0,19.0,19.0,23.0,22.0,23.0,21.0,26.0,28.0,34.0,38.0,39.0,39.0,40.0,1
4-2-2-63454-4-2018-03-31T22-56-25-956,14.0,15.0,18.0,20.0,21.0,22.0,21.0,21.0,23.0,23.0,24.0,26.0,25.0,29.0,29.0,2
4-3-2-65384-5-2018-06-21T07-51-00-805,14.0,16.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2
4-3-2-65384-4-2018-06-14T04-21-55-840,14.0,17.0,17.0,18.0,18.0,18.0,18.0,13.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,2
4-3-2-65384-4-2018-06-14T07-39-24-819,14.0,16.0,17.0,17.0,19.0,19.0,21.0,26.0,25.0,29.0,31.0,35.0,39.0,40.0,42.0,1
4-3-2-65384-5-2018-06-21T16-06-34-1007,14.0,17.0,18.0,21.0,21.0,20.0,21.0,20.0,20.0,20.0,20.0,24.0,27.0,31.0,31.0,3
4-2-2-63454-4-2018-04-01T04-35-01-817,14.0,15.0,17.0,18.0,22.0,22.0,22.0,23.0,22.0,22.0,22.0,22.0,22.0,23.0,26.0,1
4-2-1-62848-4-2018-03-26T17-08-40-1136,14.0,17.0,18.0,20.0,21.0,21.0,22.0,27.0,30.0,35.0,39.0,39.0,40.0,40.0,42.0,3
4-2-2-63454-4-2018-04-01T04-55-28-979,14.0,16.0,17.0,18.0,20.0,20.0,20.0,20.0,20.0,22.0,25.0,27.0,30.0,30.0,33.0,1
4-3-2-65384-5-2018-06-21T20-46-46-833,14.0,17.0,19.0,22.0,24.0,27.0,27.0,29.0,32.0,36.0,40.0,43.0,48.0,49.0,53.0,1
4-2-1-62848-4-2018-03-26T19-18-03-917,15.0,17.0,19.0,14.0,16.0,19.0,22.0,27.0,33.0,37.0,39.0,47.0,48.0,53.0,56.0,4
4-2-2-63454-4-2018-04-01T05-07-47-1247,14.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,20.0,23.0,26.0,29.0,35.0,40.0,42.0,4
4-3-2-65384-4-2018-06-14T09-14-07-1090,15.0,16.0,18.0,20.0,21.0,22.0,19.0,20.0,22.0,25.0,27.0,32.0,37.0,41.0,44.0,1
4-2-1-62848-4-2018-03-26T19-35-35-825,14.0,16.0,16.0,19.0,21.0,22.0,25.0,29.0,35.0,30.0,37.0,41.0,45.0,51.0,53.0,1
4-3-2-65384-6-2008-02-02T18-35-08-836,14.0,17.0,18.0,19.0,22.0,24.0,25.0,26.0,27.0,27.0,31.0,33.0,38.0,40.0,42.0,2
4-3-2-65384-4-2018-06-14T11-49-56-1058,14.0,17.0,17.0,19.0,21.0,22.0,23.0,28.0,30.0,34.0,35.0,35.0,40.0,41.0,42.0,2
4-2-1-62848-4-2018-03-26T20-09-10-1176,14.0,17.0,19.0,20.0,21.0,25.0,27.0,28.0,27.0,31.0,35.0,39.0,40.0,41.0,41.0,4
4-3-2-65384-4-2018-06-14T11-53-05-999,15.0,16.0,18.0,18.0,21.0,22.0,27.0,32.0,36.0,39.0,40.0,40.0,40.0,45.0,53.0,1
4-3-2-65384-4-2018-06-14T17-56-44-1311,15.0,14.0,17.0,19.0,21.0,21.0,20.0,20.0,15.0,18.0,18.0,21.0,27.0,33.0,33.0,4
4-2-1-62848-4-2018-03-27T00-09-14-1381,14.0,16.0,19.0,20.0,23.0,23.0,27.0,27.0,27.0,29.0,32.0,39.0,41.0,44.0,51.0,1
4-2-2-63454-4-2018-04-01T13-03-50-1353,14.0,15.0,16.0,17.0,17.0,17.0,17.0,16.0,16.0,17.0,17.0,21.0,26.0,28.0,28.0,1
4-3-2-65384-4-2018-06-14T20-45-54-923,14.0,15.0,17.0,20.0,25.0,27.0,30.0,33.0,27.0,29.0,25.0,26.0,29.0,25.0,27.0,2
4-2-1-62848-4-2018-03-27T01-39-05-1835,14.0,17.0,18.0,20.0,20.0,21.0,21.0,10.0,13.0,18.0,24.0,29.0,33.0,39.0,41.0,2
4-3-2-65384-4-2018-06-14T21-12-23-863,13.0,15.0,15.0,16.0,16.0,16.0,17.0,19.0,19.0,20.0,20.0,21.0,23.0,24.0,29.0,4
4-2-2-63454-4-2018-04-01T16-42-52-1721,14.0,18.0,19.0,22.0,23.0,26.0,24.0,23.0,29.0,33.0,35.0,38.0,35.0,37.0,38.0,4
4-2-2-63454-4-2018-04-01T17-28-33-808,14.0,17.0,19.0,20.0,23.0,25.0,28.0,32.0,34.0,40.0,42.0,42.0,45.0,51.0,51.0,1
4-3-2-65384-6-2018-06-07T22-50-53-866,14.0,17.0,18.0,20.0,21.0,22.0,22.0,24.0,24.0,26.0,27.0,28.0,32.0,31.0,24.0,2
4-3-2-65384-4-2018-06-15T04-26-12-1274,14.0,17.0,18.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,4
4-2-1-62848-4-2018-03-27T02-34-12-867,14.0,16.0,19.0,19.0,20.0,21.0,22.0,24.0,26.0,25.0,22.0,26.0,19.0,23.0,25.0,1
4-2-2-63454-4-2018-04-01T18-36-41-1411,14.0,16.0,19.0,20.0,22.0,24.0,26.0,29.0,31.0,32.0,34.0,35.0,38.0,38.0,46.0,1
4-2-2-63454-4-2018-04-01T18-45-25-962,14.0,17.0,17.0,20.0,20.0,21.0,22.0,23.0,26.0,26.0,26.0,25.0,27.0,30.0,33.0,3
4-2-1-62848-4-2018-03-27T03-34-45-866,14.0,17.0,19.0,21.0,22.0,24.0,24.0,26.0,28.0,29.0,35.0,39.0,30.0,31.0,34.0,4
4-3-2-65384-4-2018-06-15T05-08-03-877,15.0,15.0,19.0,21.0,22.0,23.0,27.0,28.0,30.0,35.0,36.0,20.0,8.0,13.0,22.0,1
4-2-2-63454-4-2018-04-01T18-52-22-1476,15.0,16.0,19.0,20.0,20.0,20.0,20.0,12.0,16.0,23.0,26.0,28.0,23.0,23.0,23.0,2
4-2-2-63454-4-2018-04-01T19-12-41-1421,15.0,15.0,16.0,18.0,24.0,28.0,30.0,27.0,23.0,24.0,27.0,28.0,30.0,30.0,30.0,1
4-3-2-65384-4-2018-06-15T15-04-18-1045,14.0,16.0,19.0,21.0,23.0,24.0,24.0,23.0,24.0,26.0,32.0,36.0,36.0,31.0,35.0,3
4-3-2-65384-6-2018-06-08T18-04-21-1078,14.0,18.0,19.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,26.0,30.0,4
4-2-1-62848-4-2018-03-27T07-37-33-1008,14.0,18.0,18.0,19.0,21.0,23.0,19.0,22.0,27.0,29.0,33.0,33.0,37.0,40.0,43.0,1
4-2-2-63454-4-2018-04-02T03-34-22-836,14.0,17.0,18.0,16.0,18.0,18.0,18.0,19.0,19.0,18.0,15.0,17.0,19.0,22.0,27.0,3
4-3-2-65384-6-2018-06-08T18-48-46-891,14.0,16.0,17.0,17.0,19.0,21.0,23.0,24.0,24.0,25.0,26.0,25.0,22.0,22.0,24.0,1
4-2-2-63454-4-2018-04-02T08-49-04-945,14.0,15.0,17.0,20.0,21.0,21.0,24.0,30.0,35.0,37.0,35.0,36.0,39.0,37.0,40.0,4
4-3-2-65384-4-2018-06-16T01-23-55-917,14.0,17.0,20.0,21.0,25.0,31.0,34.0,38.0,40.0,42.0,44.0,50.0,54.0,58.0,60.0,1
4-2-1-62848-4-2018-03-27T09-52-58-1405,15.0,14.0,17.0,19.0,17.0,18.0,19.0,21.0,21.0,21.0,21.0,20.0,20.0,19.0,19.0,3
